"Kod";"Nazwa";"ogółem;ogółem;2023;[osoba]";
1203035;"Chrzanów - obszar wiejski (5)";10013;
1203043;"Libiąż (3)";21083;
1203044;"Libiąż - miasto (4)";15912;
1203045;"Libiąż - obszar wiejski (5)";5171;
1203053;"Trzebinia (3)";32321;
1203054;"Trzebinia - miasto (4)";18502;
1203055;"Trzebinia - obszar wiejski (5)";13819;
1204000;"Powiat dąbrowski";57550;
1204012;"Bolesław (2)";2628;
1204023;"Dąbrowa Tarnowska (3)";20926;
1204024;"Dąbrowa Tarnowska - miasto (4)";11458;
1204025;"Dąbrowa Tarnowska - obszar wiejski (5)";9468;
1204032;"Gręboszów (2)";3162;
1204042;"Mędrzechów (2)";3285;
1204052;"Olesno (2)";7634;
1204062;"Radgoszcz (2)";7465;
1204073;"Szczucin (3)";12450;
1204074;"Szczucin - miasto (4)";4086;
1204075;"Szczucin - obszar wiejski (5)";8364;
1205000;"Powiat gorlicki";105322;
1205011;"Gorlice (1)";25523;
1205023;"Biecz (3)";16101;
1205024;"Biecz - miasto (4)";4313;
1205025;"Biecz - obszar wiejski (5)";11788;
1205033;"Bobowa (3)";9612;
1205034;"Bobowa - miasto (4)";3060;
1205035;"Bobowa - obszar wiejski (5)";6552;
1205042;"Gorlice (2)";16946;
1205052;"Lipinki (2)";6683;
1205062;"Łużna (2)";8340;
1205072;"Moszczenica (2)";4903;
1205082;"Ropa (2)";5492;
1205092;"Sękowa (2)";4938;
1205102;"Uście Gorlickie (2)";6784;
1206000;"Powiat krakowski";302347;
1206012;"Czernichów (2)";15436;
1206022;"Igołomia-Wawrzeńczyce (2)";7839;
1206032;"Iwanowice (2)";9822;
1206042;"Jerzmanowice-Przeginia (2)";11189;
1206052;"Kocmyrzów-Luborzyca (2)";18243;
1206063;"Krzeszowice (3)";31866;
1206064;"Krzeszowice - miasto (4)";9743;
1206065;"Krzeszowice - obszar wiejski (5)";22123;
1206072;"Liszki (2)";18591;
1206082;"Michałowice (2)";13379;
1206092;"Mogilany (2)";16286;
1206103;"Skała (3)";10954;
1206104;"Skała - miasto (4)";3880;
1206105;"Skała - obszar wiejski (5)";7074;
1206113;"Skawina (3)";44002;
1206114;"Skawina - miasto (4)";23967;
1206115;"Skawina - obszar wiejski (5)";20035;
1206123;"Słomniki (3)";13675;
1206124;"Słomniki - miasto (4)";4161;
1206125;"Słomniki - obszar wiejski (5)";9514;
1206132;"Sułoszowa (2)";5672;
1206143;"Świątniki Górne (3)";11124;
1206144;"Świątniki Górne - miasto (4)";2385;
1206145;"Świątniki Górne - obszar wiejski (5)";8739;
1206152;"Wielka Wieś (2)";16916;
1206162;"Zabierzów (2)";29602;
1206172;"Zielonki (2)";27751;
1207000;"Powiat limanowski";131654;
1207011;"Limanowa (1)";14430;
1207021;"Mszana Dolna (1)";7826;
1207032;"Dobra (2)";10105;
1207042;"Jodłownik (2)";8769;
1207052;"Kamienica (2)";7794;
1207062;"Laskowa (2)";8179;
1207072;"Limanowa (2)";26052;
1207082;"Łukowica (2)";10171;
1207092;"Mszana Dolna (2)";17638;
1207102;"Niedźwiedź (2)";7307;
1207112;"Słopnice (2)";7010;
1207122;"Tymbark (2)";6373;
1208000;"Powiat miechowski";46667;
1208012;"Charsznica (2)";7081;
1208022;"Gołcza (2)";5918;
1208032;"Kozłów (2)";4422;
1208043;"Książ Wielki (3)";4827;
1208044;"Książ Wielki - miasto (4)";839;
1208045;"Książ Wielki - obszar wiejski (5)";3988;
1208053;"Miechów (3)";18686;
1208054;"Miechów - miasto (4)";10918;
1208055;"Miechów - obszar wiejski (5)";7768;
1208062;"Racławice (2)";2422;
1208072;"Słaboszów (2)";3311;
1209000;"Powiat myślenicki";129843;
1209013;"Dobczyce (3)";15530;
1209014;"Dobczyce - miasto (4)";6163;
1209015;"Dobczyce - obszar wiejski (5)";9367;
1209022;"Lubień (2)";10094;
1209033;"Myślenice (3)";45541;
1209034;"Myślenice - miasto (4)";17745;
1209035;"Myślenice - obszar wiejski (5)";27796;
1209042;"Pcim (2)";11093;
1209052;"Raciechowice (2)";6429;
1209062;"Siepraw (2)";9638;
1209073;"Sułkowice (3)";15192;
1209074;"Sułkowice - miasto (4)";6464;
1209075;"Sułkowice - obszar wiejski (5)";8728;
1209082;"Tokarnia (2)";8799;
1209092;"Wiśniowa (2)";7527;
1210000;"Powiat nowosądecki";215034;
1210011;"Grybów (1)";5947;
1210022;"Chełmiec (2)";29725;
1210032;"Gródek nad Dunajcem (2)";8923;
1210042;"Grybów (2)";25343;
1210052;"Kamionka Wielka (2)";10482;
1210062;"Korzenna (2)";14432;
1210073;"Krynica-Zdrój (3)";15615;
1210074;"Krynica-Zdrój - miasto (4)";9597;
1210075;"Krynica-Zdrój - obszar wiejski (5)";6018;
1210082;"Łabowa (2)";6019;
1210092;"Łącko (2)";16666;
1210102;"Łososina Dolna (2)";11211;
1210113;"Muszyna (3)";11085;
1210114;"Muszyna - miasto (4)";4433;
1210115;"Muszyna - obszar wiejski (5)";6652;
1210122;"Nawojowa (2)";8862;
1210133;"Piwniczna-Zdrój (3)";9941;
1210134;"Piwniczna-Zdrój - miasto (4)";5385;
1210135;"Piwniczna-Zdrój - obszar wiejski (5)";4556;
1210142;"Podegrodzie (2)";13583;
1210152;"Rytro (2)";3667;
1210163;"Stary Sącz (3)";23533;
1210164;"Stary Sącz - miasto (4)";8701;
1210165;"Stary Sącz - obszar wiejski (5)";14832;
1211000;"Powiat nowotarski";190107;
1211011;"Nowy Targ (1)";33065;
1211023;"Szczawnica (3)";6646;
1211024;"Szczawnica - miasto (4)";5208;
1211025;"Szczawnica - obszar wiejski (5)";1438;
1211033;"Czarny Dunajec (3)";22176;
1211034;"Czarny Dunajec - miasto (4)";3680;
1211035;"Czarny Dunajec - obszar wiejski (5)";18496;
1211042;"Czorsztyn (2)";7600;
1211052;"Jabłonka (2)";19154;
1211062;"Krościenko nad Dunajcem (2)";6639;
1211072;"Lipnica Wielka (2)";6053;
1211082;"Łapsze Niżne (2)";9252;
1211092;"Nowy Targ (2)";24063;
1211102;"Ochotnica Dolna (2)";8489;
1211112;"Raba Wyżna (2)";14448;
1211123;"Rabka-Zdrój (3)";16546;
1211124;"Rabka-Zdrój - miasto (4)";12233;
1211125;"Rabka-Zdrój - obszar wiejski (5)";4313;
1211132;"Spytkowice (2)";4705;
1211142;"Szaflary (2)";11271;
1212000;"Powiat olkuski";105900;
1212011;"Bukowno (1)";9467;
1212032;"Bolesław (2)";7566;
1212042;"Klucze (2)";14439;
1212053;"Olkusz (3)";45630;
1212054;"Olkusz - miasto (4)";32261;
1212055;"Olkusz - obszar wiejski (5)";13369;
1212062;"Trzyciąż (2)";6914;
1212073;"Wolbrom (3)";21884;
1212074;"Wolbrom - miasto (4)";8045;
1212075;"Wolbrom - obszar wiejski (5)";13839;
1213000;"Powiat oświęcimski";148415;
1213011;"Oświęcim (1)";35577;
1213023;"Brzeszcze (3)";20365;
1213024;"Brzeszcze - miasto (4)";10657;
1213025;"Brzeszcze - obszar wiejski (5)";9708;
1213033;"Chełmek (3)";12306;
1213034;"Chełmek - miasto (4)";8413;
1213035;"Chełmek - obszar wiejski (5)";3893;
1213043;"Kęty (3)";33267;
1213044;"Kęty - miasto (4)";17669;
1213045;"Kęty - obszar wiejski (5)";15598;
1213052;"Osiek (2)";8129;
1213062;"Oświęcim (2)";18987;
1213072;"Polanka Wielka (2)";4310;
1213082;"Przeciszów (2)";6355;
1213093;"Zator (3)";9119;
1213094;"Zator - miasto (4)";3601;
1213095;"Zator - obszar wiejski (5)";5518;
1214000;"Powiat proszowicki";42005;
1214012;"Koniusza (2)";9085;
1214023;"Koszyce (3)";5224;
1214024;"Koszyce - miasto (4)";759;
1214025;"Koszyce - obszar wiejski (5)";4465;
1214033;"Nowe Brzesko (3)";5610;
1214034;"Nowe Brzesko - miasto (4)";1604;
1214035;"Nowe Brzesko - obszar wiejski (5)";4006;
1214042;"Pałecznica (2)";3446;
1214053;"Proszowice (3)";15470;
1214054;"Proszowice - miasto (4)";5744;
1214055;"Proszowice - obszar wiejski (5)";9726;
1214062;"Radziemice (2)";3170;
1215000;"Powiat suski";82886;
1215011;"Jordanów (1)";5403;
1215021;"Sucha Beskidzka (1)";8868;
1215032;"Budzów (2)";8834;
1215042;"Bystra-Sidzina (2)";6798;
1215052;"Jordanów (2)";11190;
1215063;"Maków Podhalański (3)";15742;
1215064;"Maków Podhalański - miasto (4)";5534;
1215065;"Maków Podhalański - obszar wiejski (5)";10208;
1215072;"Stryszawa (2)";11886;
1215082;"Zawoja (2)";8776;
1215092;"Zembrzyce (2)";5389;
1216000;"Powiat tarnowski";197335;
1216013;"Ciężkowice (3)";10985;
1216014;"Ciężkowice - miasto (4)";2482;
1216015;"Ciężkowice - obszar wiejski (5)";8503;
1216022;"Gromnik (2)";8746;
1216032;"Lisia Góra (2)";15619;
1216042;"Pleśna (2)";11740;
1216053;"Radłów (3)";9386;
1216054;"Radłów - miasto (4)";2698;
1216055;"Radłów - obszar wiejski (5)";6688;
1216063;"Ryglice (3)";11205;
1216064;"Ryglice - miasto (4)";2673;
1216065;"Ryglice - obszar wiejski (5)";8532;
1216072;"Rzepiennik Strzyżewski (2)";6509;
1216082;"Skrzyszów (2)";14168;
1216092;"Tarnów (2)";26417;
1216103;"Tuchów (3)";16985;
1216104;"Tuchów - miasto (4)";6176;
1216105;"Tuchów - obszar wiejski (5)";10809;
1216112;"Wierzchosławice (2)";10525;
1216122;"Wietrzychowice (2)";3724;
1216133;"Wojnicz (3)";13071;
1216134;"Wojnicz - miasto (4)";3141;
1216135;"Wojnicz - obszar wiejski (5)";9930;
1216143;"Zakliczyn (3)";12356;
1216144;"Zakliczyn - miasto (4)";1579;
1216145;"Zakliczyn - obszar wiejski (5)";10777;
1216153;"Żabno (3)";18397;
1216154;"Żabno - miasto (4)";4100;
1216155;"Żabno - obszar wiejski (5)";14297;
1216162;"Szerzyny (2)";7502;
1217000;"Powiat tatrzański";66478;
1217011;"Zakopane (1)";25204;
1217022;"Biały Dunajec (2)";6832;
1217032;"Bukowina Tatrzańska (2)";13565;
1217042;"Kościelisko (2)";9076;
1217052;"Poronin (2)";11801;
1218000;"Powiat wadowicki";157473;
1218013;"Andrychów (3)";41946;
1218014;"Andrychów - miasto (4)";18311;
1218015;"Andrychów - obszar wiejski (5)";23635;
1218022;"Brzeźnica (2)";10833;
1218033;"Kalwaria Zebrzydowska (3)";19889;
1218034;"Kalwaria Zebrzydowska - miasto (4)";4300;
1218035;"Kalwaria Zebrzydowska - obszar wiejski (5)";15589;
1218042;"Lanckorona (2)";6267;
1218052;"Mucharz (2)";4175;
1218062;"Spytkowice (2)";10098;
1218072;"Stryszów (2)";6786;
1218082;"Tomice (2)";8241;
1218093;"Wadowice (3)";36475;
1218094;"Wadowice - miasto (4)";17196;
1218095;"Wadowice - obszar wiejski (5)";19279;
1218102;"Wieprz (2)";12763;
1219000;"Powiat wielicki";143628;
1219012;"Biskupice (2)";11735;
1219022;"Gdów (2)";18642;
1219032;"Kłaj (2)";11174;
1219043;"Niepołomice (3)";33173;
1219044;"Niepołomice - miasto (4)";16805;
1219045;"Niepołomice - obszar wiejski (5)";16368;
1219053;"Wieliczka (3)";68904;
1219054;"Wieliczka - miasto (4)";27845;
1219055;"Wieliczka - obszar wiejski (5)";41059;
1261000;"Powiat m. Kraków";806201;
1261011;"Kraków (1)";806201;
1262000;"Powiat m. Nowy Sącz";80358;
1262011;"Nowy Sącz (1)";80358;
1263000;"Powiat m. Tarnów";103129;
1263011;"Tarnów (1)";103129;
1400000;"MAZOWIECKIE";5510527;
1401000;"Powiat białobrzeski";32520;
1401013;"Białobrzegi (3)";9766;
1401014;"Białobrzegi - miasto (4)";6407;
1401015;"Białobrzegi - obszar wiejski (5)";3359;
1401022;"Promna (2)";5439;
1401032;"Radzanów (2)";3798;
1401042;"Stara Błotnica (2)";5446;
1401052;"Stromiec (2)";5398;
1401063;"Wyśmierzyce (3)";2673;
1401064;"Wyśmierzyce - miasto (4)";877;
1401065;"Wyśmierzyce - obszar wiejski (5)";1796;
1402000;"Powiat ciechanowski";85167;
1402011;"Ciechanów (1)";41740;
1402022;"Ciechanów (2)";7526;
1402033;"Glinojeck (3)";7124;
1402034;"Glinojeck - miasto (4)";2788;
1402035;"Glinojeck - obszar wiejski (5)";4336;
1402042;"Gołymin-Ośrodek (2)";3493;
1402052;"Grudusk (2)";3299;
1402062;"Ojrzeń (2)";4091;
1402072;"Opinogóra Górna (2)";5846;
1402082;"Regimin (2)";4711;
1402092;"Sońsk (2)";7337;
1403000;"Powiat garwoliński";105510;
1403011;"Garwolin (1)";17268;
1403021;"Łaskarzew (1)";4489;
1403032;"Borowie (2)";4905;
1403042;"Garwolin (2)";13500;
1403052;"Górzno (2)";6695;
1403062;"Łaskarzew (2)";5238;
1403072;"Maciejowice (2)";6358;
1403082;"Miastków Kościelny (2)";4636;
1403092;"Parysów (2)";4104;
1403103;"Pilawa (3)";10553;
1403104;"Pilawa - miasto (4)";4431;
1403105;"Pilawa - obszar wiejski (5)";6122;
1403112;"Sobolew (2)";7809;
1403122;"Trojanów (2)";7093;
1403132;"Wilga (2)";5088;
1403143;"Żelechów (3)";7774;
1403144;"Żelechów - miasto (4)";3719;
1403145;"Żelechów - obszar wiejski (5)";4055;
1404000;"Powiat gostyniński";42238;
1404011;"Gostynin (1)";16986;
1404022;"Gostynin (2)";11750;
1404032;"Pacyna (2)";3238;
1404043;"Sanniki (3)";5606;
1404044;"Sanniki - miasto (4)";1721;
1404045;"Sanniki - obszar wiejski (5)";3885;
1404052;"Szczawin Kościelny (2)";4658;
1405000;"Powiat grodziski";105707;
1405011;"Milanówek (1)";16424;
1405021;"Podkowa Leśna (1)";3799;
1405032;"Baranów (2)";5431;
1405043;"Grodzisk Mazowiecki (3)";55453;
1405044;"Grodzisk Mazowiecki - miasto (4)";34718;
1405045;"Grodzisk Mazowiecki - obszar wiejski (5)";20735;
1405052;"Jaktorów (2)";13504;
1405062;"Żabia Wola (2)";11096;
1406000;"Powiat grójecki";97029;
1406012;"Belsk Duży (2)";6175;
1406022;"Błędów (2)";7034;
1406032;"Chynów (2)";10179;
1406042;"Goszczyn (2)";2834;
1406053;"Grójec (3)";26225;
1406054;"Grójec - miasto (4)";16807;
1406055;"Grójec - obszar wiejski (5)";9418;
1406062;"Jasieniec (2)";5349;
1406073;"Mogielnica (3)";8156;
1406074;"Mogielnica - miasto (4)";2118;
1406075;"Mogielnica - obszar wiejski (5)";6038;
1406083;"Nowe Miasto nad Pilicą (3)";7110;
1406084;"Nowe Miasto nad Pilicą - miasto (4)";3484;
1406085;"Nowe Miasto nad Pilicą - obszar wiejski (5)";3626;
1406092;"Pniewy (2)";4846;
1406113;"Warka (3)";19121;
1406114;"Warka - miasto (4)";11889;
1406115;"Warka - obszar wiejski (5)";7232;
1407000;"Powiat kozienicki";57153;
1407012;"Garbatka-Letnisko (2)";4776;
1407022;"Głowaczów (2)";6700;
1407032;"Gniewoszów (2)";3769;
1407042;"Grabów nad Pilicą (2)";4036;
1407053;"Kozienice (3)";27747;
1407054;"Kozienice - miasto (4)";15530;
1407055;"Kozienice - obszar wiejski (5)";12217;
1407062;"Magnuszew (2)";6393;
1407072;"Sieciechów (2)";3732;
1408000;"Powiat legionowski";131847;
1408011;"Legionowo (1)";52630;
1408022;"Jabłonna (2)";23356;
1408032;"Nieporęt (2)";17249;
1408043;"Serock (3)";17705;
1408044;"Serock - miasto (4)";5277;
1408045;"Serock - obszar wiejski (5)";12428;
1408052;"Wieliszew (2)";20907;
1409000;"Powiat lipski";31561;
1409012;"Chotcza (2)";2188;
1409022;"Ciepielów (2)";5187;
1409033;"Lipsko (3)";10051;
1409034;"Lipsko - miasto (4)";4948;
1409035;"Lipsko - obszar wiejski (5)";5103;
1409042;"Rzeczniów (2)";4051;
1409052;"Sienno (2)";5517;
1409063;"Solec nad Wisłą (3)";4567;
1409064;"Solec nad Wisłą - miasto (4)";933;
1409065;"Solec nad Wisłą - obszar wiejski (5)";3634;
1410000;"Powiat łosicki";28628;
1410012;"Huszlew (2)";2631;
1410023;"Łosice (3)";10411;
1410024;"Łosice - miasto (4)";6808;
1410025;"Łosice - obszar wiejski (5)";3603;
1410032;"Olszanka (2)";2734;
1410042;"Platerów (2)";4368;
1410052;"Sarnaki (2)";4091;
1410062;"Stara Kornica (2)";4393;
1411000;"Powiat makowski";41736;
1411011;"Maków Mazowiecki (1)";8939;
1411022;"Czerwonka (2)";2539;
1411032;"Karniewo (2)";4830;
1411042;"Krasnosielc (2)";5873;
1411052;"Młynarze (2)";1607;
1411062;"Płoniawy-Bramura (2)";4859;
1411073;"Różan (3)";4229;
1411074;"Różan - miasto (4)";2616;
1411075;"Różan - obszar wiejski (5)";1613;
1411082;"Rzewnie (2)";2419;
1411092;"Sypniewo (2)";2912;
1411102;"Szelków (2)";3529;
1412000;"Powiat miński";159388;
1412011;"Mińsk Mazowiecki (1)";39837;
1412043;"Cegłów (3)";6073;
1412044;"Cegłów - miasto (4)";2311;
1412045;"Cegłów - obszar wiejski (5)";3762;
1412052;"Dębe Wielkie (2)";11863;
1412062;"Dobre (2)";5844;
1412073;"Halinów (3)";18245;
1412074;"Halinów - miasto (4)";3752;
1412075;"Halinów - obszar wiejski (5)";14493;
1412082;"Jakubów (2)";5096;
1412093;"Kałuszyn (3)";5517;
1412094;"Kałuszyn - miasto (4)";2699;
1412095;"Kałuszyn - obszar wiejski (5)";2818;
1412103;"Latowicz (3)";5135;
1412104;"Latowicz - miasto (4)";1339;
1412105;"Latowicz - obszar wiejski (5)";3796;
1412112;"Mińsk Mazowiecki (2)";16996;
1412123;"Mrozy (3)";8647;
1412124;"Mrozy - miasto (4)";3623;
1412125;"Mrozy - obszar wiejski (5)";5024;
1412132;"Siennica (2)";7663;
1412142;"Stanisławów (2)";7044;
1412151;"Sulejówek (1)";21428;
1413000;"Powiat mławski";69074;
1413011;"Mława (1)";30802;
1413022;"Dzierzgowo (2)";2741;
1413032;"Lipowiec Kościelny (2)";4463;
1413042;"Radzanów (2)";2908;
1413052;"Strzegowo (2)";7008;
1413062;"Stupsk (2)";4439;
1413072;"Szreńsk (2)";3786;
1413082;"Szydłowo (2)";4194;
1413092;"Wieczfnia Kościelna (2)";3630;
1413102;"Wiśniewo (2)";5103;
1414000;"Powiat nowodworski";79571;
1414011;"Nowy Dwór Mazowiecki (1)";28548;
1414022;"Czosnów (2)";11052;
1414032;"Leoncin (2)";5590;
1414043;"Nasielsk (3)";19249;
1414044;"Nasielsk - miasto (4)";7315;
1414045;"Nasielsk - obszar wiejski (5)";11934;
1414052;"Pomiechówek (2)";9263;
1414063;"Zakroczym (3)";5869;
1414064;"Zakroczym - miasto (4)";3129;
1414065;"Zakroczym - obszar wiejski (5)";2740;
1415000;"Powiat ostrołęcki";87494;
1415012;"Baranowo (2)";5963;
1415022;"Czarnia (2)";2217;
1415032;"Czerwin (2)";4723;
1415042;"Goworowo (2)";7818;
1415052;"Kadzidło (2)";10989;
1415062;"Lelis (2)";9952;
1415072;"Łyse (2)";8164;
1415083;"Myszyniec (3)";9975;
1415084;"Myszyniec - miasto (4)";3189;
1415085;"Myszyniec - obszar wiejski (5)";6786;
1415092;"Olszewo-Borki (2)";11026;
1415102;"Rzekuń (2)";12157;
1415112;"Troszyn (2)";4510;
1416000;"Powiat ostrowski";68412;
1416011;"Ostrów Mazowiecka (1)";21530;
1416022;"Andrzejewo (2)";3774;
1416032;"Boguty-Pianki (2)";2368;
1416043;"Brok (3)";2565;
1416044;"Brok - miasto (4)";1731;
1416045;"Brok - obszar wiejski (5)";834;
1416052;"Małkinia Górna (2)";10787;
1416062;"Nur (2)";2467;
1416072;"Ostrów Mazowiecka (2)";12636;
1416082;"Stary Lubotyń (2)";3582;
1416092;"Szulborze Wielkie (2)";1501;
1416102;"Wąsewo (2)";3952;
1416112;"Zaręby Kościelne (2)";3250;
1417000;"Powiat otwocki";126779;
1417011;"Józefów (1)";21217;
1417021;"Otwock (1)";43895;
1417032;"Celestynów (2)";11648;
1417043;"Karczew (3)";15826;
1417044;"Karczew - miasto (4)";9245;
1417045;"Karczew - obszar wiejski (5)";6581;
1417052;"Kołbiel (2)";8299;
1417062;"Osieck (2)";3659;
1417072;"Sobienie-Jeziory (2)";6233;
1417082;"Wiązowna (2)";16002;
1418000;"Powiat piaseczyński";215088;
1418013;"Góra Kalwaria (3)";28395;
1418014;"Góra Kalwaria - miasto (4)";12129;
1418015;"Góra Kalwaria - obszar wiejski (5)";16266;
1418023;"Konstancin-Jeziorna (3)";25088;
1418024;"Konstancin-Jeziorna - miasto (4)";16894;
1418025;"Konstancin-Jeziorna - obszar wiejski (5)";8194;
1418032;"Lesznowola (2)";38479;
1418043;"Piaseczno (3)";97293;
1418044;"Piaseczno - miasto (4)";51971;
1418045;"Piaseczno - obszar wiejski (5)";45322;
1418052;"Prażmów (2)";13370;
1418063;"Tarczyn (3)";12463;
1418064;"Tarczyn - miasto (4)";4343;
1418065;"Tarczyn - obszar wiejski (5)";8120;
1419000;"Powiat płocki";109531;
1419012;"Bielsk (2)";8873;
1419023;"Bodzanów (3)";7751;
1419024;"Bodzanów - miasto (4)";1121;
1419025;"Bodzanów - obszar wiejski (5)";6630;
1419032;"Brudzeń Duży (2)";8251;
1419042;"Bulkowo (2)";5193;
1419053;"Drobin (3)";7289;
1419054;"Drobin - miasto (4)";2631;
1419055;"Drobin - obszar wiejski (5)";4658;
1419063;"Gąbin (3)";11151;
1419064;"Gąbin - miasto (4)";4124;
1419065;"Gąbin - obszar wiejski (5)";7027;
1419072;"Łąck (2)";5364;
1419082;"Mała Wieś (2)";5631;
1419092;"Nowy Duninów (2)";3934;
1419102;"Radzanowo (2)";8705;
1419112;"Słubice (2)";4118;
1419122;"Słupno (2)";9051;
1419132;"Stara Biała (2)";12265;
1419142;"Staroźreby (2)";6767;
1419153;"Wyszogród (3)";5188;
1419154;"Wyszogród - miasto (4)";2400;
1419155;"Wyszogród - obszar wiejski (5)";2788;
1420000;"Powiat płoński";84006;
1420011;"Płońsk (1)";21530;
1420021;"Raciąż (1)";3966;
1420032;"Baboszewo (2)";7414;
1420043;"Czerwińsk nad Wisłą (3)";7144;
1420044;"Czerwińsk nad Wisłą - miasto (4)";981;
1420045;"Czerwińsk nad Wisłą - obszar wiejski (5)";6163;
1420052;"Dzierzążnia (2)";3346;
1420062;"Joniec (2)";2781;
1420072;"Naruszewo (2)";5876;
1420083;"Nowe Miasto (3)";4547;
1420084;"Nowe Miasto - miasto (4)";1514;
1420085;"Nowe Miasto - obszar wiejski (5)";3033;
1420092;"Płońsk (2)";8454;
1420102;"Raciąż (2)";7837;
1420113;"Sochocin (3)";5617;
1420114;"Sochocin - miasto (4)";1925;
1420115;"Sochocin - obszar wiejski (5)";3692;
1420122;"Załuski (2)";5494;
1421000;"Powiat pruszkowski";179667;
1421011;"Piastów (1)";22932;
1421021;"Pruszków (1)";65461;
1421033;"Brwinów (3)";29999;
1421034;"Brwinów - miasto (4)";14568;
1421035;"Brwinów - obszar wiejski (5)";15431;
1421042;"Michałowice (2)";19436;
1421052;"Nadarzyn (2)";18306;
1421062;"Raszyn (2)";23533;
1422000;"Powiat przasnyski";49037;
1422011;"Przasnysz (1)";16357;
1422023;"Chorzele (3)";9232;
1422024;"Chorzele - miasto (4)";2894;
1422025;"Chorzele - obszar wiejski (5)";6338;
1422032;"Czernice Borowe (2)";3491;
1422042;"Jednorożec (2)";6607;
1422052;"Krasne (2)";3270;
1422062;"Krzynowłoga Mała (2)";3235;
1422072;"Przasnysz (2)";6845;
1423000;"Powiat przysuski";38621;
1423012;"Borkowice (2)";3984;
1423022;"Gielniów (2)";4294;
1423032;"Klwów (2)";3096;
1423042;"Odrzywół (2)";3392;
1423052;"Potworów (2)";3980;
1423063;"Przysucha (3)";10828;
1423064;"Przysucha - miasto (4)";5293;
1423065;"Przysucha - obszar wiejski (5)";5535;
1423072;"Rusinów (2)";3973;
1423082;"Wieniawa (2)";5074;
1424000;"Powiat pułtuski";50311;
1424012;"Gzy (2)";3553;
1424022;"Obryte (2)";4305;
1424032;"Pokrzywnica (2)";5138;
1424043;"Pułtusk (3)";24130;
1424044;"Pułtusk - miasto (4)";19064;
1424045;"Pułtusk - obszar wiejski (5)";5066;
1424052;"Świercze (2)";4476;
1424062;"Winnica (2)";4002;
1424072;"Zatory (2)";4707;
1425000;"Powiat radomski";151331;
1425011;"Pionki (1)";16089;
1425022;"Gózd (2)";9423;
1425033;"Iłża (3)";13576;
1425034;"Iłża - miasto (4)";4280;
1425035;"Iłża - obszar wiejski (5)";9296;
1425042;"Jastrzębia (2)";7132;
1425052;"Jedlińsk (2)";14574;
1425063;"Jedlnia-Letnisko (3)";13618;
1425064;"Jedlnia-Letnisko - miasto (4)";3957;
1425065;"Jedlnia-Letnisko - obszar wiejski (5)";9661;
1425072;"Kowala (2)";12489;
1425082;"Pionki (2)";9642;
1425092;"Przytyk (2)";7030;
1425103;"Skaryszew (3)";15540;
1425104;"Skaryszew - miasto (4)";4456;
1425105;"Skaryszew - obszar wiejski (5)";11084;
1425112;"Wierzbica (2)";9185;
1425122;"Wolanów (2)";9014;
1425132;"Zakrzew (2)";14019;
1426000;"Powiat siedlecki";80441;
1426012;"Domanice (2)";2470;
1426022;"Korczew (2)";2334;
1426032;"Kotuń (2)";8128;
1426042;"Mokobody (2)";4787;
1426053;"Mordy (3)";5334;
1426054;"Mordy - miasto (4)";1599;
1426055;"Mordy - obszar wiejski (5)";3735;
1426062;"Paprotnia (2)";2367;
1426072;"Przesmyki (2)";2767;
1426082;"Siedlce (2)";19657;
1426092;"Skórzec (2)";8231;
1426102;"Suchożebry (2)";4706;
1426112;"Wiśniew (2)";5735;
1426122;"Wodynie (2)";4129;
1426132;"Zbuczyn (2)";9796;
1427000;"Powiat sierpecki";48259;
1427011;"Sierpc (1)";16941;
1427022;"Gozdowo (2)";5662;
1427032;"Mochowo (2)";5526;
1427042;"Rościszewo (2)";3743;
1427052;"Sierpc (2)";6583;
1427062;"Szczutowo (2)";3982;
1427072;"Zawidz (2)";5822;
1428000;"Powiat sochaczewski";83174;
1428011;"Sochaczew (1)";33456;
1428022;"Brochów (2)";4419;
1428032;"Iłów (2)";5857;
1428042;"Młodzieszyn (2)";5589;
1428052;"Nowa Sucha (2)";6853;
1428062;"Rybno (2)";3423;
1428072;"Sochaczew (2)";11993;
1428082;"Teresin (2)";11584;
1429000;"Powiat sokołowski";50064;
1429011;"Sokołów Podlaski (1)";18361;
1429022;"Bielany (2)";3470;
1429032;"Ceranów (2)";1812;
1429042;"Jabłonna Lacka (2)";4065;
1429053;"Kosów Lacki (3)";5334;
1429054;"Kosów Lacki - miasto (4)";1962;
1429055;"Kosów Lacki - obszar wiejski (5)";3372;
1429062;"Repki (2)";4612;
1429072;"Sabnie (2)";3253;
1429082;"Sokołów Podlaski (2)";5772;
1429092;"Sterdyń (2)";3385;
1430000;"Powiat szydłowiecki";37500;
1430012;"Chlewiska (2)";5505;
1430023;"Jastrząb (3)";5127;
1430024;"Jastrząb - miasto (4)";1178;
1430025;"Jastrząb - obszar wiejski (5)";3949;
1430032;"Mirów (2)";3738;
1430042;"Orońsko (2)";5918;
1430053;"Szydłowiec (3)";17212;
1430054;"Szydłowiec - miasto (4)";10556;
1430055;"Szydłowiec - obszar wiejski (5)";6656;
1432000;"Powiat warszawski zachodni";135216;
1432013;"Błonie (3)";22419;
1432014;"Błonie - miasto (4)";12172;
1432015;"Błonie - obszar wiejski (5)";10247;
1432022;"Izabelin (2)";10791;
1432032;"Kampinos (2)";4472;
1432042;"Leszno (2)";11072;
1432053;"Łomianki (3)";31887;
